id,name,descr,file_format_code,model,file_txt,module_id,module_name,template_typ_code,lang_code,is_active,cr_by,cr_dtimes
1101,Template for authorization content,Template for authorization content,txt,,"Dear $name
Your Authentication of UIN $uin using $authType on $date at $time Hrs $status at a device deployed by MOSIP Services",10004,Authentification ID,auth-email-content,amh,t,superadmin,2020-12-23 14:36:54.459577
1101,Template for authorization content,Template for authorization content,txt,,"Dear $name
Your Authentication of UIN $uin using $authType on $date at $time Hrs $status at a device deployed by MOSIP Services",10004,ID Authentication,auth-email-content,eng,t,superadmin,2020-12-23 14:36:54.459577
1102,Template for authorization subject,Template for authorization subject,txt,,UIN $uin Authentication $status,10004,Authentification ID,auth-email-subject,amh,t,superadmin,2020-12-23 14:36:54.459577
1102,Template for authorization subject,Template for authorization subject,txt,,UIN $uin Authentication $status,10004,ID Authentication,auth-email-subject,eng,t,superadmin,2020-12-23 14:36:54.459577
1103,Template for authorization SMS,Template for authorization SMS,txt,,Your Authentication of UIN $uin using $authType on $date at $time Hrs $status at a device deployed by MOSIP Services.,10004,Authentification ID,auth-sms,amh,t,superadmin,2020-12-23 14:36:54.459577
1103,Template for authorization SMS,Template for authorization SMS,txt,,Your Authentication of UIN $uin using $authType on $date at $time Hrs $status at a device deployed by MOSIP Services.,10004,ID Authentication,auth-sms,eng,t,superadmin,2020-12-23 14:36:54.459577
1107,Template for duplicate UIN Email,Template for duplicate UIN Email,txt,,"Dear $!name_eng,

Your request for UIN for Registration ID: $!RID has failed because a duplicate UIN has been found against your details. Please visit your nearest Registration office or visit https://mosip.io/grievances

Thank You",10003,Processeur dinscription,RPR_DUP_UIN_EMAIL,amh,t,superadmin,2020-12-23 14:36:54.459577
1107,Template for duplicate UIN Email,Template for duplicate UIN Email,txt,,"Dear $!name_eng,

Your request for UIN for Registration ID: $!RID has failed because a duplicate UIN has been found against your details. Please visit your nearest Registration office or visit https://mosip.io/grievances

Thank You",10003,Registration Processor,RPR_DUP_UIN_EMAIL,eng,t,superadmin,2020-12-23 14:36:54.459577
1108,Template for duplicate UIN SMS,Template for duplicate UIN SMS,txt,,"Dear $!name_eng,

Your request for UIN for Registration ID: $!RID has failed because a duplicate UIN has been found against your details. Please visit your nearest Registration office or visit https://mosip.io/grievances",10003,Processeur dinscription,RPR_DUP_UIN_SMS,amh,t,superadmin,2020-12-23 14:36:54.459577
1108,Template for duplicate UIN SMS,Template for duplicate UIN SMS,txt,,"Dear $!name_eng,

Your request for UIN for Registration ID: $!RID has failed because a duplicate UIN has been found against your details. Please visit your nearest Registration office or visit https://mosip.io/grievances",10003,Registration Processor,RPR_DUP_UIN_SMS,eng,t,superadmin,2020-12-23 14:36:54.459577
