id,name,mac_address,serial_num,ip_address,validity_end_dtimes,dspec_id,zone_code,regcntr_id,lang_code,is_active,cr_by,cr_dtimes
294455df-94b5-45dd-99e6-bc56eb4827fd,D1,111111111,1111111111,11111111,2021-02-03 21:00:00,165,BLE,10003,eng,t,110011,2021-02-03 09:57:05.495508
294455df-94b5-45dd-99e6-bc56eb4827fd,D1,111111111,1111111111,11111111,2021-02-03 21:00:00,165,BLE,10003,amh,t,110011,2021-02-03 09:57:05.646234
3000021,Dummy Finger Print Scanner 1,85-BB-97-4B-14-05,1234567890,11111111,2021-02-03 21:00:00,165,BLE,10001,amh,t,superadmin,2020-12-23 14:36:54.798318
3000021,Dummy Finger Print Scanner 1,85-BB-97-4B-14-05,1234567890,11111111,2021-02-03 21:00:00,165,BLE,10001,eng,t,superadmin,2020-12-23 14:36:54.798318
e96c900f-baa8-4f8c-aaa9-983d21ef11bc,Test,111111111,111111111,1111111,2021-02-01 21:00:00,327,BLE,10001,amh,t,110011,2021-02-02 12:27:57.446231
e96c900f-baa8-4f8c-aaa9-983d21ef11bc,Test,111111111,111111111,1111111,2021-02-01 21:00:00,327,BLE,10001,eng,t,110011,2021-02-02 12:27:57.233306
3000023,Dummy Web Camera 1,6B-D5-10-4B-3A-9E,2345678901,11111111,2021-02-03 21:00:00,165,BLE,10001,amh,t,superadmin,2020-12-23 14:36:54.798318
3000023,Dummy Web Camera 1,6B-D5-10-4B-3A-9E,2345678901,11111111,2021-02-03 21:00:00,165,BLE,10001,eng,t,superadmin,2020-12-23 14:36:54.798318
3000024,Thales IRIS Scanner,CD-27-9D-D6-F4-7B,CIS-2021901036,11111111,2021-02-03 21:00:00,165,BLE,10001,amh,t,superadmin,2020-12-23 14:36:54.798318
3000024,Thales IRIS Scanner,CD-27-9D-D6-F4-7B,CIS-2021901036,11111111,2021-02-03 21:00:00,165,BLE,10001,eng,t,superadmin,2020-12-23 14:36:54.798318
3000022,Dummy IRIS Scanner 1,CD-27-9D-D6-F4-7B,3456789012,11111111,2021-02-03 21:00:00,165,BLE,10001,amh,t,superadmin,2020-12-23 14:36:54.798318
3000022,Dummy IRIS Scanner 1,CD-27-9D-D6-F4-7B,3456789012,11111111,2021-02-03 21:00:00,165,BLE,10001,eng,t,superadmin,2020-12-23 14:36:54.798318
3000025,Thales Finger print Scanner,CD-27-9D-D6-F4-7B,C8R1FU00107,11111111,2021-02-03 21:00:00,165,BLE,10001,amh,t,superadmin,2020-12-23 14:36:54.798318
3000025,Thales Finger print Scanner,CD-27-9D-D6-F4-7B,C8R1FU00107,11111111,2021-02-03 21:00:00,165,BLE,10001,eng,t,superadmin,2020-12-23 14:36:54.798318
